"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"5S_rRNA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5_8S_rRNA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6M1-18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7M1-2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7SK"	6211	7516	5485	7338	22610	17680	5144	24682	4877	7683	24804	14654	6647	23302	8394	4743	14312	20097
"A1BG"	51808	73	14	27	46	121	29836	124	10	12	30	65	35922	129	27	9	33	95
"A1BG-AS1"	9	193	4	20	31	129	6	368	3	14	35	146	12	318	2	17	25	117
"A1CF"	36445	2	19	10	4193	0	20126	7	0	2	152	2	23024	7	1	0	4788	2
"A2M"	90484	9743	8951	32012	22370	305920	30940.98	6095	6627	29156	34365	214209	74382	7615	11636	32589	33568	147556
"A2M-AS1"	11	68	27	169	34	85	17	66	58	36	67	46	41	289	111	120	54	47
"A2ML1"	0	134	0	3	1	6	0	202	0	0	0	2	0	145	2	3	3	0
"A2MP1"	0	1	0	6	1	7	0	2	0	3	4	4	0	0	2	5	0	8
"A3GALT2"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"A4GALT"	44	51	170	349	490	391	17	48	98	612	467	491	31	30	145	427	771	344
"A4GNT"	1	0	0	0	0	7	1	2	0	0	0	2	5	0	0	0	0	6
"AA06"	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
"AAAS"	537	337	499	326	676	657	406	375	451	167	650	371	442	721	530	293	658	552
"AACS"	104	2003	123	421	911	630	155	3017	204	133	1815	296	149	824	223	323	904	627
"AACSP1"	0	4	0	0	17	5	0	18	0	0	13	1	0	4	0	0	42	1
"AADAC"	10315	0	0	8	4	114	3577	0	0	0	0	45	5888	1	0	0	3	92
"AADACL2"	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1
"AADACL3"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"AADACL4"	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	2	0
"AADAT"	1972	182	24	36	131	132	969	304	17	21	103	81	972	50	44	32	142	62
"AAED1"	55	82	238	245	151	431	33	83	132	117	169	297	74	113	420	279	196	393
"AAGAB"	441	1929	774	580	1399	1017	349	2350	659	242	1359	580	538	1386	1371	466	1355	940
"AAK1"	822	11293	637	6708	4217	3060	996	16676	1187	2386	5584	2417	1090.23	13545.02	1170	5323	4466	2783
"AAMDC"	240	53	1642	552	314	314	67	58	864	61	321	223	172	101	1607	170	317	260
"AAMP"	2707	2419	1232	926	3040	2229	1588	3084	955	528	2643	1136	2118	3284	1304	684	2783	2248
"AANAT"	0	0	1	0	0	0	0	5	0	1	0	2	0	2	0	0	0	0
"AAR2"	748	564	414	439	963	1199	736	580	387	327	1015	574	774	746	577	457	985	991
"AARD"	0	37	2	0	37	69	0	16	1	2	3	70	0	11	0	5	49	126
"AARS"	3535	9788	1847	2222	3366	3691	2874	14158	2064	962	4091	2787	3082	10424	2366	1343	3910	2973
