"","Gene","S7_avg","S12_avg","S13_avg","Class"
"7SK","7SK",350.444640021199,453.535350630579,346.089986124869,"not_elevated"
"A1BG","A1BG",378.07083751438,261.012078915109,239.974184339843,"not_elevated"
"A1CF","A1CF",284.616650113167,176.009336338448,172.90183094295,"not_elevated"
"A2M","A2M",2230.84265386634,1958.08039264372,1586.86772749405,"not_elevated"
"A4GALT","A4GALT",8.3981624952627,13.2411910370934,9.41730375006147,"not_elevated"
"AAAS","AAAS",17.8445781048402,16.1275594861169,15.9582209303389,"not_elevated"
"AACS","AACS",19.9534320072668,24.6702222382575,13.7989592410835,"not_elevated"
"AADAC","AADAC",75.5082665793163,31.3874618047021,39.5228138852414,"individual_elevated"
"AADAT","AADAT",16.6785781850943,10.7671955028523,8.0042466431151,"not_elevated"
"AAED1","AAED1",7.02945895386039,5.58274725926643,8.36256089411909,"not_elevated"
"AAGAB","AAGAB",32.9066073424836,29.5408632121288,30.0579536234863,"not_elevated"
"AAK1","AAK1",140.438872768901,143.175683368021,128.669542110255,"not_elevated"
"AAMDC","AAMDC",23.7701486526957,12.8486579496123,16.0506560829088,"not_elevated"
"AAMP","AAMP",70.1916285315134,57.6759377708596,58.4571476841754,"not_elevated"
"AAR2","AAR2",23.6869157756639,23.5928079899329,23.0117841538383,"not_elevated"
"AARS","AARS",129.396469328426,138.110087959183,105.734474028658,"not_elevated"
"AARS2","AARS2",15.2089120640073,19.801708700358,15.7030758415566,"not_elevated"
"AARSD1","AARSD1",16.9309336480981,13.1312889957982,13.5362750029705,"not_elevated"
"AASDH","AASDH",17.8755628172356,18.6244203602854,20.139413775533,"not_elevated"
"AASDHPPT","AASDHPPT",79.6907344215139,55.7862311348706,62.4087063890895,"not_elevated"
"AASS","AASS",87.5511460113967,53.3560396472562,86.5825670231383,"not_elevated"
"AATF","AATF",21.1692795897504,17.3021763598601,22.1048680259196,"not_elevated"
"AATK","AATK",21.7582040229174,23.2358629804367,14.4229273230841,"not_elevated"
"AB073649","AB073649",1.62878964721268,2.21468894919454,1.93550098275737,"not_elevated"
"AB074160","AB074160",10.3742045553278,7.91943646584047,0.0712295553003339,"individual_elevated"
