"","logFC","logCPM","PValue","FDR"
"CYP2A6",-14.4535529741539,9.66857070724084,8.39039231683107e-80,1.26694923984149e-75
"CYP2C9",-14.6593730794678,9.88286440949648,4.06207849199386e-71,3.06686926145537e-67
"ACSM2A",-14.4001908461207,8.02801654541457,4.9332475325828e-68,2.48306792473334e-64
"SERPINA10",-14.8587314084708,8.0023277272422,8.1119661248395e-68,3.06226721212691e-64
"A1CF",-13.379279938541,9.21308315158119,5.3372900777549e-67,1.61186160348198e-63
"CPN2",-15.1500205557892,7.56060151253001,7.26104004841826e-67,1.82736174551859e-63
"AFM",-15.1509244822036,8.28279071274879,1.16385705837353e-66,2.51060594020577e-63
"SULT2A1",-14.4185077741044,8.40869751122527,5.48775368632512e-66,1.03581350829387e-62
"CPLX2",13.0342653190591,8.18202759257702,2.13684466421833e-65,3.58515049218854e-62
"APOC3",-15.0461230394098,10.824209445452,2.98574999738271e-65,4.50848249604789e-62
"ACSM2B",-17.5553339833028,8.40537401293649,3.83689681097562e-65,5.26701289506653e-62
"MBL2",-14.5505116213906,8.51870239766682,1.5163169458104e-64,1.90803215681142e-61
"CES1",-12.1923954711548,10.705967266633,3.01828364046322e-64,3.50585253623035e-61
"C8A",-15.5706757533448,8.71456719451296,4.90397882737147e-64,5.28929144952209e-61
"LBP",-14.6722036840621,7.80410297863613,7.14487002694048e-64,7.19250249378675e-61
"CYP2B6",-15.13827074512,7.54892056948111,1.77436314867473e-63,1.67455522156178e-60
"VTN",-13.3161453194824,11.6670630022596,2.62479257090248e-63,2.33143340121338e-60
"GABRA1",12.4530812253947,8.01142825955575,2.80189993479408e-63,2.35048272307725e-60
"CYP8B1",-13.4336943033946,8.63091917492091,6.03603050258993e-63,4.79705582047937e-60
"ADH1A",-15.6489761146664,9.63966550779786,6.47770454974305e-63,4.89066693505601e-60
"HPD",-14.0554004398992,9.89455825054384,8.0995299446961e-63,5.82394772213863e-60
"FUT9",14.0555877697564,7.30374697486347,2.1916169412167e-62,1.50424617328964e-59
"SERPINA1",-12.9321263308526,13.079895916137,2.32505006429261e-62,1.52644591177471e-59
"SAA4",-13.4801216743738,7.48173056700734,2.44823337704307e-62,1.54034683305626e-59
"SNAP91",13.230549407789,7.31698199607308,3.10612188915677e-62,1.87609762105069e-59
"SNAP25",10.5336456648533,9.98986992101774,4.09924718854826e-62,2.3462382416486e-59
"UGT1A4",-16.9081401418392,7.75819051682476,4.19526043208691e-62,2.3462382416486e-59
"AGXT",-15.1650144203094,9.87155954378786,8.09148059276811e-62,4.36361989109995e-59
"G6PC",-13.9048634404997,9.08493086744139,1.65566615417149e-61,8.62088238896191e-59
"ADH1C",-14.7641428124656,9.27566502586022,2.05804191477836e-61,1.03588109710511e-58
"SLC22A1",-13.1835286627775,9.20337173413877,2.4412555315345e-61,1.18912769439261e-58
"CDHR5",-13.0388551221682,6.6562082014138,4.65080612201129e-61,2.19459913882408e-58
"CPB2",-14.718096618627,8.97556979186314,5.81205627977734e-61,2.65945605529205e-58
"MASP2",-14.0873981998279,6.48658444140012,2.04542737302469e-60,9.08410392137437e-58
"LINC00261",-14.1459717694817,7.76224972043885,3.80813157861699e-60,1.60018722485764e-57
"HSD17B13",-10.9873621155265,8.75912746848831,3.81501590032284e-60,1.60018722485764e-57
"APCS",-14.1357619535212,9.18579164211642,5.22594052163484e-60,2.1327486993699e-57
"F11",-12.250317505107,7.16845930650519,6.45447972842386e-60,2.56480641840001e-57
"ITIH1",-14.9208006512188,10.5755615312283,7.13922916450409e-60,2.76416308676953e-57
"C8B",-13.8221401854846,8.88282781223096,1.1730014543395e-59,4.42808049013163e-57
"MAT1A",-14.224606454994,10.7348301089407,1.32314195009548e-59,4.87303498693702e-57
"GABRG2",12.8464296048962,6.9331277706476,3.88299865187259e-59,1.39603046769705e-56
"ADH1B",-13.4700327419397,12.5196879527305,4.3422180309834e-59,1.52482540157789e-56
"SCG3",15.8610603263062,6.71255083095382,4.52132649388076e-59,1.55163704676362e-56
"F2",-12.9494270883809,9.84457497088965,4.8161893531491e-59,1.6160990940567e-56
"HAO1",-14.7809420624341,7.89912179239516,5.75639487263321e-59,1.88959918645134e-56
"IYD",-12.3835218771668,6.40511056485468,1.44371859503823e-58,4.63832995427175e-56
"CPS1",-10.8820557379456,12.188675736268,1.76012918527822e-58,5.53707306202106e-56
"APOA1",-14.9230525646983,12.1123843476364,1.88550255728691e-58,5.81042624796577e-56
"INHBC",-12.3209800795231,5.93869841441248,2.02204405201586e-58,6.00087095514919e-56
"HPCAL4",11.3703311310667,7.49935558997675,2.02678422988483e-58,6.00087095514919e-56
"TM4SF4",-14.1653633031767,7.30948222015018,2.34668741416359e-58,6.81441922189811e-56
"TMPRSS6",-13.9787636675137,7.12280972193418,3.3814687044046e-58,9.63399574273765e-56
"SERPIND1",-13.1586150103877,8.86582119803044,5.07211741394018e-58,1.41831431389809e-55
"SCN2A",9.86058609617386,8.56237964931134,5.46953911435636e-58,1.50163710230511e-55
"AGXT2",-13.4743875782163,5.88503402681984,7.03004167227295e-58,1.89560052234503e-55
"APOF",-14.7024471400435,7.83328868831344,1.47507877301339e-57,3.90766481973723e-55
"APOA5",-13.0652764130882,7.94536431013762,1.76196669319473e-57,4.58718914952421e-55
